DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:75577 0.03651
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.55	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.54	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.1	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.38	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.41	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.42	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.74	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.73	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.13	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.72	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.11	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.8	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.70	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.103	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.106	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.125	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.83	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.40	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.41	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.43	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.44	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.57	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.62	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.43	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.46	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.23	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.37	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.81	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.48	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.18	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.53	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.94	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.9	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.132	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.143	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.53	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.33	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.49	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.51	ratio of unmerged reads:1.0
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.55	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.57	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.69	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.71	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.73	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.76	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.77	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.79	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.80	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.101	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.83	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.84	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.87	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.89	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.91	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.92	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.95	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.100	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.61	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.64	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.67	ratio of unmerged reads:1.0
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.2	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.31	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v3.4.64	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v4.0.36	no read
DNA-27988-CG001Qv51Run064-8_S8.CG001v5.0.132	no read
DNA-27989-CG001Qv51Run064-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:64029 0.03648
DNA-27989-CG001Qv51Run064-15_S15.CG001v5.0.76	nb/ratio of ambiguous positions:33686 0.03175
DNA-27989-CG001Qv51Run064-15_S15.CG001v5.0.91	no read
DNA-27989-CG001Qv51Run064-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:80556 0.03688
DNA-27989-CG001Qv51Run064-9_S9.CG001v5.0.76	nb/ratio of ambiguous positions:34694 0.03072
DNA-27989-CG001Qv51Run064-9_S9.CG001v5.0.91	no read
NF-CG001Qv51Run064-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:63034 0.03692
NF-CG001Qv51Run064-3_S3.CG001v3.4.130	no read
NF-CG001Qv51Run064-3_S3.CG001v5.0.76	nb/ratio of ambiguous positions:41543 0.03194
NF-CG001Qv51Run064-3_S3.CG001v5.0.91	no read
QMRS-CG001Qv51Run064-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:57518 0.0372
QMRS-CG001Qv51Run064-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv51Run064-2_S2.CG001v5.0.76	nb/ratio of ambiguous positions:32851 0.03166
QMRS-CG001Qv51Run064-2_S2.CG001v5.0.91	no read
